game_week,average_score,highest_score,finished,most_selected,most_trans_in,most_captained,most_vice_captained
Gameweek 1,57,119,True,28,105,283,318
Gameweek 2,57,139,True,28,318,318,283
Gameweek 3,48,118,True,28,19,28,318
Gameweek 4,62,149,True,28,225,283,28
Gameweek 5,62,124,True,28,104,318,28
Gameweek 6,45,118,True,28,104,318,283
Gameweek 7,0,0,True,318,335,318,283
Gameweek 8,50,123,True,318,357,318,28
Gameweek 9,68,157,True,318,261,318,28
Gameweek 10,0,,False,,,,
Gameweek 11,0,,False,,,,
Gameweek 12,0,,False,,,,
Gameweek 13,0,,False,,,,
Gameweek 14,0,,False,,,,
Gameweek 15,0,,False,,,,
Gameweek 16,0,,False,,,,
Gameweek 17,0,,False,,,,
Gameweek 18,0,,False,,,,
Gameweek 19,0,,False,,,,
Gameweek 20,0,,False,,,,
Gameweek 21,0,,False,,,,
Gameweek 22,0,,False,,,,
Gameweek 23,0,,False,,,,
Gameweek 24,0,,False,,,,
Gameweek 25,0,,False,,,,
Gameweek 26,0,,False,,,,
Gameweek 27,0,,False,,,,
Gameweek 28,0,,False,,,,
Gameweek 29,0,,False,,,,
Gameweek 30,0,,False,,,,
Gameweek 31,0,,False,,,,
Gameweek 32,0,,False,,,,
Gameweek 33,0,,False,,,,
Gameweek 34,0,,False,,,,
Gameweek 35,0,,False,,,,
Gameweek 36,0,,False,,,,
Gameweek 37,0,,False,,,,
Gameweek 38,0,,False,,,,
